gene_names,BRCA
KCNQ1OT1,KCNQ1OT1
RPS10-NUDT3,
LINC02772,
ZNF595,ZNF595
GTF2IP1,
PSMB3,PSMB3
DHRS11,DHRS11
TFPI,TFPI2;TFPI
NDUFAB1,NDUFAB1
CIAPIN1,CIAPIN1
CREBBP,CREBBP
IBTK,
PAF1,PAF1
SCIN,
MYLIP,MYLIP
PSMB1,PSMB10;PSMB1
NCAPD2,NCAPD2
PTBP1,PTBP1
LARS2,LARS2
QPCTL,QPCTL
UBR7,UBR7
RNF14,RNF141;RNF144A;RNF144B;RNF145;RNF146;RNF149
MDH1,MDH1
TTC27,
RNH1,
GLRX2,GLRX2
EHD2,EHD2
FAM13B,FAM13B
APBA2,APBA2
TMSB10,TMSB10
DEPDC1B,DEPDC1B
NSMAF,NSMAF
RPL26L1,RPL26L1
HSPA5,HSPA5
XK,XKR4;XKR5;XKR6;XKR7;XKR8;XKRX;XK
RSF1,RSF1
VPS13D,VPS13D
COL9A2,
CLPTM1L,CLPTM1L
ZNF280C,
ATG5,ATG5
UNKL,UNKL
CCAR1,CCAR1
OGFR,OGFRL1;OGFR
HIPK2,HIPK2
TMEM161A,TMEM161A
YBX1,YBX1
FECH,
IDI1,IDI1
TNFRSF1A,TNFRSF1A
RRP15,RRP15
COASY,COASY
RAB27A,RAB27A
DAPP1,DAPP1
ASNS,ASNSD1;ASNS
TCOF1,TCOF1
AFF4,AFF4
HMMR,HMMR
NLE1,NLE1
TEAD2,TEAD2
ACTR6,
NUP37,NUP37
MCM6,MCM6
ITCH,ITCH
DNM2,DNM2
STX7,STX7
TCF7,TCF7L1;TCF7L2;TCF7
PTPRC,PTPRCAP
MAPRE3,MAPRE3
PREP,PREPL;PREP
RAD54L,RAD54L2;RAD54L
ZW10,ZW10
PIGS,
GCN1,
FH,FHAD1;FHDC1;FHIT;FHL1;FHL2;FHL5;FHOD3;FH
